Unnamed: 0,review_id,pseudo_author_id,author_name,review_text,review_rating,review_likes,author_app_version,review_timestamp
2178382,43590656-0c01-4043-888a-4d4e204f6b61,286672493461804565546,se*********nt,Excellent,5,0,8.6.0.830,2021-02-17 13:43:53
1512086,2ff705da-3353-46b2-a7ca-c36a59230fdd,198854073242550875507,A Google user,I love it because ìts the best music app and it's not confusing to get in,5,0,8.4.91.861,2019-07-11 18:51:10
2286625,e02fd55a-aa44-4412-806e-61666e9ac351,113152780804500214351,Ak*******ha,Langganan Premium lewat jalur student nya ga bisa. Padahal udah bayar dan sudah ada notif kalo langganan. Tapi akunnya tetap tidak berubah menjadi premium. Costumer service nya juga sudah dihubungi.. Im really dissatisfied and disappointed with this experience 👎👎. So sorry I'll give you 2 star,2,0,8.6.26.897,2021-05-18 14:39:44
3327629,c9db7e5f-5a1b-4a30-b4f9-b31c6d5904e1,320551089909703276509,Ma************ri,I have been using spotify since 3 years but now it has crossed it's limits with this premium things like you can't even play a specific part of a song and can't even listen the playlist in orderr like really... I'm done with this app now,1,0,8.8.80.599,2023-10-27 03:37:26
462041,417402fa-3312-4cbc-bdd1-8514fea4425a,178015082224395034187,A Google user,I can find all my favorite songs and more!!!,5,0,5.5.0.653,2016-08-05 05:24:35
565254,cbda2475-0d96-4065-ba94-4096ea55fe47,459700353936572729989,A Google user,Fine all what i like,5,0,6.9.0.1212,2016-12-13 04:34:12
3102014,aa534953-b18e-489d-99aa-a2592703193e,560471108170833505020,Be************nd,Great application i love it so much,5,0,,2023-07-04 12:36:43
2255642,0aaec48c-dca8-48b6-8f57-d7ecea7be7b0,122170145855301261403,La********.D,I love this app but everytime I wanna play my song it plays a different song I I hate when it does that and it is starting to freeze my phone so I'm deleting this app,2,0,8.6.20.1063,2021-04-21 13:52:28
1727652,a2981ff7-7d95-4c34-a518-e4452c66f01a,133151038356925860571,A Google user,PP,5,0,,2020-01-12 01:59:33
6971,a739a6d8-1b9a-4d51-aa76-a3175b47a033,224462250197283814404,A Google user,"i love this app like a love song baby. a very good app indeed. great job. and to those who downloaded this, lets SPOTIFY!! awohoooo.",5,0,1.1.0.113,2014-06-17 17:12:13
682927,7cd9591e-3bae-4819-98a5-1b466b08798d,283249777545212781790,A Google user,Was class,4,0,,2017-04-10 13:24:15
1928708,3ed8b6aa-e1b3-4a18-8ccc-aa360579ee67,258198997915701742068,LE****ER,Просто лучшие,5,0,8.5.66.1002,2020-07-15 09:40:05
832330,6898994a-094d-47cd-b7bf-d5329e6f3193,129748848833765069400,A Google user,The best formee,5,0,8.4.18.743,2017-09-14 22:52:15
3083147,4a8cd444-3a4e-467e-bdd8-8a76b51ef068,159942554453307177347,Am**************ur,"After last update Can't even play songs in playlist, it just randomly cue songs. What's the point of playlists then ???Last update completely messed up the user experience. Uninstalling this app",1,0,8.8.44.527,2023-06-16 04:37:00
2509134,2068990a-8713-42d6-a9ca-56b0d0c320d9,221787223156846646799,Aa********am,"Crashes my huawai mobile and prevents the Android operating system from entering App management until I restart. Works ok initially after clearing data, but soon goes back to stalling and extreme slow responsiveness. Finally can sometimes play audio which will is not stopable, even after I kill the app but swiping it up. Very poorly programmed. Updating regularly make no difference. Oddly the same issues occur on my windows system, indicating systemic programming issues. Aaron.",2,13,8.6.82.1113,2021-11-28 11:23:23
1583662,8640cdf9-b488-460c-bbcd-4934d3184787,191965800734921069672,A Google user,Spotify is all that..and more.,5,0,8.5.9.737,2019-09-03 12:19:48
1519722,75c37c3e-d86d-4840-9055-8644458020eb,256303387990590928454,A Google user,App has got worse not better. Can no longer shuffle all songs which if you're driving is necessary so you can steer. Takes an age to deselect liked songs. im leaving premium after 3 years,1,0,8.5.14.752,2019-07-17 11:59:08
197508,b55d2df7-42d5-4186-81ad-adbe55539ef4,277894319232598378370,A Google user,Its cool but what about the search option....,3,0,,2015-06-28 14:41:40
1527253,d10be8b3-4a9c-400f-97d8-b15df04d8c0f,280381339292978188043,A Google user,Excellent App,5,0,8.5.14.752,2019-07-23 03:47:51
1719030,c9b5f6c0-9671-4816-8d58-55f1cb8ad866,637518786722194744805,A Google user,Easy to find song.,4,0,8.5.36.747,2020-01-04 08:40:27
896405,28cb793d-6145-4d91-bfef-3f4fdc0b4654,322656800510775433201,A Google user,"It plays music, most everything I want to listen to, at $5 a month with a student discount. That's a pretty good deal in my book.",5,0,8.4.28.875,2017-11-23 11:25:17
2219251,06eb2207-91c8-4eaa-a67f-332ebcedb18a,938286102964804144807,Ha******ua,"Dude I just got 5 ads in Row I had the dollar shave club, tiktok, Visa, Alexa and a spotify ad",2,0,8.6.8.1094,2021-03-22 05:34:58
392200,756fa023-cb64-46dc-ba43-c20a014e8bf5,767047440445681876015,A Google user,It's a great app for what I need. Download music from wifi and play it later. Great stuff..,5,0,5.2.0.885,2016-04-30 12:26:20
2811603,322741b0-8504-4bf2-9eb9-7bdf17df690e,168852519352173068224,te******82,Y'all took away the hey Spotify feature. Why would you do that? Now I have to look at my phone instead of telling Spotify what I want to play while I'm going down the road. You did it to sell a piece of hardware for 50$ and mount in your car. Just bs for removing that and then charging people for something that worked just fine with out the $50 hardware. Disappointed gonna go to Pandora and see how they operate.,2,0,8.7.56.421,2022-08-17 06:45:43
257958,42836822-0482-4150-a98f-24b34252f4d1,326854188275025631970,A Google user,"I was hesitant about Spotify, but it's a terrific app for getting a huge variety of music.",5,0,3.7.0.833,2015-09-27 23:45:34
1264912,109c33af-1b8d-4758-a00e-fbe07f8c8ed4,334573608586682383170,A Google user,Very useful and no problems with anything.,5,0,8.4.84.874,2018-12-27 16:06:26
1653192,e1f2fe18-40ce-4977-8c04-a5aebe569a52,153495521757775246402,A Google user,Music the best ever,5,0,,2019-11-04 20:45:46
365910,5cbafbb8-c104-41a2-8dd3-01444762c205,265912512052599897426,A Google user,Awesome,5,0,4.9.0.992,2016-03-25 02:58:36
3040953,2db30477-a85b-4281-a1a3-36d3088d7ae4,465773711926235461733,c****a,Awesome,5,0,8.8.28.409,2023-04-30 08:52:18
