Unnamed: 0,review_id,pseudo_author_id,author_name,review_text,review_rating,review_likes,author_app_version,review_timestamp,raw_word_count,length_type,length_type2,tokens
2178382,43590656-0c01-4043-888a-4d4e204f6b61,286672493461804565546,se*********nt,Excellent,5,0,8.6.0.830,2021-02-17 13:43:53,1,Very short,Short,['excellent']
2286625,e02fd55a-aa44-4412-806e-61666e9ac351,113152780804500214351,Ak*******ha,Langganan Premium lewat jalur student nya ga bisa. Padahal udah bayar dan sudah ada notif kalo langganan. Tapi akunnya tetap tidak berubah menjadi premium. Costumer service nya juga sudah dihubungi.. Im really dissatisfied and disappointed with this experience 👎👎. So sorry I'll give you 2 star,2,0,8.6.26.897,2021-05-18 14:39:44,46,Long,Long,"['lang', '##gan', '##an', 'premium', 'lew', '##at', 'ja', '##lu', '##r', 'student', 'ny', '##a', 'ga', 'bis', '##a', '.', 'pad', '##aha', '##l', 'ud', '##ah', 'bay', '##ar', 'dan', 'sud', '##ah', 'ada', 'not', '##if', 'ka', '##lo', 'lang', '##gan', '##an', '.', 'tap', '##i', 'ak', '##un', '##nya', 'te', '##ta', '##p', 'ti', '##dak', 'be', '##ru', '##bah', 'men', '##jad', '##i', 'premium', '.', 'costume', '##r', 'service', 'ny', '##a', 'jug', '##a', 'sud', '##ah', 'di', '##hu', '##bu', '##ng', '##i', '.', '.', 'im', 'really', 'dissatisfied', 'and', 'disappointed', 'with', 'this', 'experience', '[UNK]', '.', 'so', 'sorry', 'i', ""'"", 'll', 'give', 'you', '2', 'star']"
3327629,c9db7e5f-5a1b-4a30-b4f9-b31c6d5904e1,320551089909703276509,Ma************ri,I have been using spotify since 3 years but now it has crossed it's limits with this premium things like you can't even play a specific part of a song and can't even listen the playlist in orderr like really... I'm done with this app now,1,0,8.8.80.599,2023-10-27 03:37:26,46,Long,Long,"['i', 'have', 'been', 'using', 'spot', '##ify', 'since', '3', 'years', 'but', 'now', 'it', 'has', 'crossed', 'it', ""'"", 's', 'limits', 'with', 'this', 'premium', 'things', 'like', 'you', 'can', ""'"", 't', 'even', 'play', 'a', 'specific', 'part', 'of', 'a', 'song', 'and', 'can', ""'"", 't', 'even', 'listen', 'the', 'play', '##list', 'in', 'order', '##r', 'like', 'really', '.', '.', '.', 'i', ""'"", 'm', 'done', 'with', 'this', 'app', 'now']"
3102014,aa534953-b18e-489d-99aa-a2592703193e,560471108170833505020,Be************nd,Great application i love it so much,5,0,,2023-07-04 12:36:43,7,Medium,Long,"['great', 'application', 'i', 'love', 'it', 'so', 'much']"
2255642,0aaec48c-dca8-48b6-8f57-d7ecea7be7b0,122170145855301261403,La********.D,I love this app but everytime I wanna play my song it plays a different song I I hate when it does that and it is starting to freeze my phone so I'm deleting this app,2,0,8.6.20.1063,2021-04-21 13:52:28,36,Long,Long,"['i', 'love', 'this', 'app', 'but', 'every', '##time', 'i', 'wanna', 'play', 'my', 'song', 'it', 'plays', 'a', 'different', 'song', 'i', 'i', 'hate', 'when', 'it', 'does', 'that', 'and', 'it', 'is', 'starting', 'to', 'freeze', 'my', 'phone', 'so', 'i', ""'"", 'm', 'del', '##eti', '##ng', 'this', 'app']"
1727652,a2981ff7-7d95-4c34-a518-e4452c66f01a,133151038356925860571,A Google user,PP,5,0,,2020-01-12 01:59:33,1,Very short,Short,['pp']
1928708,3ed8b6aa-e1b3-4a18-8ccc-aa360579ee67,258198997915701742068,LE****ER,Просто лучшие,5,0,8.5.66.1002,2020-07-15 09:40:05,2,Very short,Short,"['п', '##р', '##о', '##с', '##т', '##о', 'л', '##у', '##ч', '##ш', '##и', '##е']"
3083147,4a8cd444-3a4e-467e-bdd8-8a76b51ef068,159942554453307177347,Am**************ur,"After last update Can't even play songs in playlist, it just randomly cue songs. What's the point of playlists then ???Last update completely messed up the user experience. Uninstalling this app",1,0,8.8.44.527,2023-06-16 04:37:00,31,Long,Long,"['after', 'last', 'update', 'can', ""'"", 't', 'even', 'play', 'songs', 'in', 'play', '##list', ',', 'it', 'just', 'randomly', 'cue', 'songs', '.', 'what', ""'"", 's', 'the', 'point', 'of', 'play', '##lists', 'then', '?', '?', '?', 'last', 'update', 'completely', 'messed', 'up', 'the', 'user', 'experience', '.', 'un', '##ins', '##tal', '##ling', 'this', 'app']"
1719030,c9b5f6c0-9671-4816-8d58-55f1cb8ad866,637518786722194744805,A Google user,Easy to find song.,4,0,8.5.36.747,2020-01-04 08:40:27,4,Short,Short,"['easy', 'to', 'find', 'song', '.']"
2219251,06eb2207-91c8-4eaa-a67f-332ebcedb18a,938286102964804144807,Ha******ua,"Dude I just got 5 ads in Row I had the dollar shave club, tiktok, Visa, Alexa and a spotify ad",2,0,8.6.8.1094,2021-03-22 05:34:58,21,Long,Long,"['dude', 'i', 'just', 'got', '5', 'ads', 'in', 'row', 'i', 'had', 'the', 'dollar', 'shave', 'club', ',', 'ti', '##kt', '##ok', ',', 'visa', ',', 'alexa', 'and', 'a', 'spot', '##ify', 'ad']"
2811603,322741b0-8504-4bf2-9eb9-7bdf17df690e,168852519352173068224,te******82,Y'all took away the hey Spotify feature. Why would you do that? Now I have to look at my phone instead of telling Spotify what I want to play while I'm going down the road. You did it to sell a piece of hardware for 50$ and mount in your car. Just bs for removing that and then charging people for something that worked just fine with out the $50 hardware. Disappointed gonna go to Pandora and see how they operate.,2,0,8.7.56.421,2022-08-17 06:45:43,81,Long,Long,"['y', ""'"", 'all', 'took', 'away', 'the', 'hey', 'spot', '##ify', 'feature', '.', 'why', 'would', 'you', 'do', 'that', '?', 'now', 'i', 'have', 'to', 'look', 'at', 'my', 'phone', 'instead', 'of', 'telling', 'spot', '##ify', 'what', 'i', 'want', 'to', 'play', 'while', 'i', ""'"", 'm', 'going', 'down', 'the', 'road', '.', 'you', 'did', 'it', 'to', 'sell', 'a', 'piece', 'of', 'hardware', 'for', '50', '$', 'and', 'mount', 'in', 'your', 'car', '.', 'just', 'bs', 'for', 'removing', 'that', 'and', 'then', 'charging', 'people', 'for', 'something', 'that', 'worked', 'just', 'fine', 'with', 'out', 'the', '$', '50', 'hardware', '.', 'disappointed', 'gonna', 'go', 'to', 'pandora', 'and', 'see', 'how', 'they', 'operate', '.']"
3040953,2db30477-a85b-4281-a1a3-36d3088d7ae4,465773711926235461733,c****a,Awesome,5,0,8.8.28.409,2023-04-30 08:52:18,1,Very short,Short,['awesome']
